product url,product title,price,reviews,rating
https://www.daraz.pk/products/ergobunyad-plastic-inter-design-bathroom-kitchen-organize-shelf-rack-shower-corner-with-wall-mounted-suction-cup-i128343789-s1346262029.html?search=1,ErgoBunyad - Plastic Inter Design Bathroom Kitchen Organize Shelf Rack Shower Corner with Wall Mounted Suction Cup,Rs. 249,(247), 4.7
https://www.daraz.pk/products/soap-holder-dish-plate-leafology-shape-design-adhesive-drainage-soap-holder-convenient-and-tidy-soap-base-holder-with-suction-cups-anti-collision-i213940716-s1422554987.html?search=1,Soap Holder Dish Plate Leafology Shape Design Adhesive Drainage Soap Holder Convenient And Tidy Soap Base Holder With Suction Cups Anti-Collision,Rs. 195,(46), 4.2
https://www.daraz.pk/products/multicolors-bath-towels-24-x-48-i1813860-s9747154.html?search=1,Multicolors Bath Towels - 24 X 48,Rs. 170,(71), 4.4
https://www.daraz.pk/products/leaf-shape-soap-holder-self-draining-self-adhesive-soap-holder-ideal-for-bathroom-kitchens-dish-box-sponge-holder-with-suction-cups-anti-collision-plastic-self-draining-soap-saver-i214305981-s1423160692.html?search=1,"Leaf Shape Soap Holder- Self Draining Self Adhesive Soap holder ideal for Bathroom, Kitchen’s Dish Box, Sponge Holder with Suction Cups Anti-Collision, Plastic Self Draining Soap Saver",Rs. 150,(25), 4.6
https://www.daraz.pk/products/soap-holder-dish-plate-leafology-shape-design-adhesive-drainage-soap-holder-convenient-and-tidy-soap-base-holder-with-suction-cups-anti-collision-i213940716-s1422554987.html?search=1,Soap Holder Dish Plate Leafology Shape Design Adhesive Drainage Soap Holder Convenient And Tidy Soap Base Holder With Suction Cups Anti-Collision,Rs. 195,(46), 5.0
https://www.daraz.pk/products/multicolors-bath-towels-24-x-48-i1813860-s9747154.html?search=1,Multicolors Bath Towels - 24 X 48,Rs. 170,(71), 4.6
https://www.daraz.pk/products/leaf-shape-soap-holder-self-draining-self-adhesive-soap-holder-ideal-for-bathroom-kitchens-dish-box-sponge-holder-with-suction-cups-anti-collision-plastic-self-draining-soap-saver-i214305981-s1423160692.html?search=1,"Leaf Shape Soap Holder- Self Draining Self Adhesive Soap holder ideal for Bathroom, Kitchen’s Dish Box, Sponge Holder with Suction Cups Anti-Collision, Plastic Self Draining Soap Saver",Rs. 150,(25), 4.6
https://www.daraz.pk/products/bathrobe-premium-luxury-cotton-shawl-collar-plush-bathrobes-i193260317-s1386700153.html?search=1,Bathrobe Premium & Luxury Cotton Shawl Collar Plush Bathrobes,"Rs. 1,199",(31), 4.8
https://www.daraz.pk/products/toothpaste-dispenser-with-5-brush-holder-wall-mounted-automatic-hands-free-toothpaste-dispenser-i193406291-s1386944713.html?search=1,Toothpaste Dispenser With 5 Brush Holder Wall Mounted Automatic Hands Free Toothpaste Dispenser,Rs. 289,(64), 4.3
https://www.daraz.pk/products/ergobunyad-plastic-inter-design-bathroom-kitchen-organize-shelf-rack-shower-corner-with-wall-mounted-suction-cup-i128343789-s1346262029.html?search=1,ErgoBunyad - Plastic Inter Design Bathroom Kitchen Organize Shelf Rack Shower Corner with Wall Mounted Suction Cup,Rs. 249,(247), 4.4
https://www.daraz.pk/products/soap-holder-dish-plate-leafology-shape-design-adhesive-drainage-soap-holder-convenient-and-tidy-soap-base-holder-with-suction-cups-anti-collision-i213940716-s1422554987.html?search=1,Soap Holder Dish Plate Leafology Shape Design Adhesive Drainage Soap Holder Convenient And Tidy Soap Base Holder With Suction Cups Anti-Collision,Rs. 195,(46), 4.7
https://www.daraz.pk/products/multicolors-bath-towels-24-x-48-i1813860-s9747154.html?search=1,Multicolors Bath Towels - 24 X 48,Rs. 170,(71), 4.9
https://www.daraz.pk/products/leaf-shape-soap-holder-self-draining-self-adhesive-soap-holder-ideal-for-bathroom-kitchens-dish-box-sponge-holder-with-suction-cups-anti-collision-plastic-self-draining-soap-saver-i214305981-s1423160692.html?search=1,"Leaf Shape Soap Holder- Self Draining Self Adhesive Soap holder ideal for Bathroom, Kitchen’s Dish Box, Sponge Holder with Suction Cups Anti-Collision, Plastic Self Draining Soap Saver",Rs. 150,(25), 4.6
https://www.daraz.pk/products/dish-soap-dish-leafology-decorative-drainage-soap-holder-shower-with-suction-cups-anti-collision-plastic-self-draining-soap-saver-for-bathroom-bar-soap-tray-kitchen-sponge-holder-i200442253-s1398466693.html?search=1,"Dish Soap Dish Leafology Decorative Drainage Soap Holder Shower with Suction Cups Anti-Collision, Plastic Self Draining Soap Saver for Bathroom, Bar Soap Tray Kitchen Sponge Holder",Rs. 149,(153), 4.2
https://www.daraz.pk/products/dish-soap-dish-leafology-decorative-drainage-soap-holder-shower-with-suction-cups-anti-collision-plastic-self-draining-soap-saver-for-bathroom-bar-soap-tray-kitchen-sponge-holder-i200442253-s1398466693.html?search=1,"Dish Soap Dish Leafology Decorative Drainage Soap Holder Shower with Suction Cups Anti-Collision, Plastic Self Draining Soap Saver for Bathroom, Bar Soap Tray Kitchen Sponge Holder",Rs. 149,(153), 5.0
https://www.daraz.pk/products/dish-soap-dish-leafology-decorative-drainage-soap-holder-shower-with-suction-cups-anti-collision-plastic-self-draining-soap-saver-for-bathroom-bar-soap-tray-kitchen-sponge-holder-i200442253-s1398466693.html?search=1,"Dish Soap Dish Leafology Decorative Drainage Soap Holder Shower with Suction Cups Anti-Collision, Plastic Self Draining Soap Saver for Bathroom, Bar Soap Tray Kitchen Sponge Holder",Rs. 149,(153), 4.3
https://www.daraz.pk/products/dish-soap-dish-leafology-decorative-drainage-soap-holder-shower-with-suction-cups-anti-collision-plastic-self-draining-soap-saver-for-bathroom-bar-soap-tray-kitchen-sponge-holder-i200442253-s1398466693.html?search=1,"Dish Soap Dish Leafology Decorative Drainage Soap Holder Shower with Suction Cups Anti-Collision, Plastic Self Draining Soap Saver for Bathroom, Bar Soap Tray Kitchen Sponge Holder",Rs. 149,(153), 4.8
https://www.daraz.pk/products/dish-soap-dish-leafology-decorative-drainage-soap-holder-shower-with-suction-cups-anti-collision-plastic-self-draining-soap-saver-for-bathroom-bar-soap-tray-kitchen-sponge-holder-i200442253-s1398466693.html?search=1,"Dish Soap Dish Leafology Decorative Drainage Soap Holder Shower with Suction Cups Anti-Collision, Plastic Self Draining Soap Saver for Bathroom, Bar Soap Tray Kitchen Sponge Holder",Rs. 149,(153), 4.5
https://www.daraz.pk/products/dish-soap-dish-leafology-decorative-drainage-soap-holder-shower-with-suction-cups-anti-collision-plastic-self-draining-soap-saver-for-bathroom-bar-soap-tray-kitchen-sponge-holder-i200442253-s1398466693.html?search=1,"Dish Soap Dish Leafology Decorative Drainage Soap Holder Shower with Suction Cups Anti-Collision, Plastic Self Draining Soap Saver for Bathroom, Bar Soap Tray Kitchen Sponge Holder",Rs. 149,(153), 4.4
https://www.daraz.pk/products/dish-soap-dish-leafology-decorative-drainage-soap-holder-shower-with-suction-cups-anti-collision-plastic-self-draining-soap-saver-for-bathroom-bar-soap-tray-kitchen-sponge-holder-i200442253-s1398466693.html?search=1,"Dish Soap Dish Leafology Decorative Drainage Soap Holder Shower with Suction Cups Anti-Collision, Plastic Self Draining Soap Saver for Bathroom, Bar Soap Tray Kitchen Sponge Holder",Rs. 149,(153), 4.6
https://www.daraz.pk/products/dish-soap-dish-leafology-decorative-drainage-soap-holder-shower-with-suction-cups-anti-collision-plastic-self-draining-soap-saver-for-bathroom-bar-soap-tray-kitchen-sponge-holder-i200442253-s1398466693.html?search=1,"Dish Soap Dish Leafology Decorative Drainage Soap Holder Shower with Suction Cups Anti-Collision, Plastic Self Draining Soap Saver for Bathroom, Bar Soap Tray Kitchen Sponge Holder",Rs. 149,(153), 4.6
https://www.daraz.pk/products/toothpaste-dispenser-with-5-brush-holder-wall-mounted-automatic-hands-free-toothpaste-dispenser-i193406291-s1386944713.html?search=1,Toothpaste Dispenser With 5 Brush Holder Wall Mounted Automatic Hands Free Toothpaste Dispenser,Rs. 289,(64), 4.6
https://www.daraz.pk/products/ergobunyad-plastic-inter-design-bathroom-kitchen-organize-shelf-rack-shower-corner-with-wall-mounted-suction-cup-i128343789-s1346262029.html?search=1,ErgoBunyad - Plastic Inter Design Bathroom Kitchen Organize Shelf Rack Shower Corner with Wall Mounted Suction Cup,Rs. 249,(247), 4.8
https://www.daraz.pk/products/soap-holder-dish-plate-leafology-shape-design-adhesive-drainage-soap-holder-convenient-and-tidy-soap-base-holder-with-suction-cups-anti-collision-i213940716-s1422554987.html?search=1,Soap Holder Dish Plate Leafology Shape Design Adhesive Drainage Soap Holder Convenient And Tidy Soap Base Holder With Suction Cups Anti-Collision,Rs. 195,(46), 4.9
https://www.daraz.pk/products/multicolors-bath-towels-24-x-48-i1813860-s9747154.html?search=1,Multicolors Bath Towels - 24 X 48,Rs. 170,(71), 5.0
https://www.daraz.pk/products/leaf-shape-soap-holder-self-draining-self-adhesive-soap-holder-ideal-for-bathroom-kitchens-dish-box-sponge-holder-with-suction-cups-anti-collision-plastic-self-draining-soap-saver-i214305981-s1423160692.html?search=1,"Leaf Shape Soap Holder- Self Draining Self Adhesive Soap holder ideal for Bathroom, Kitchen’s Dish Box, Sponge Holder with Suction Cups Anti-Collision, Plastic Self Draining Soap Saver",Rs. 150,(25), 4.7
https://www.daraz.pk/products/automatic-toothpaste-dispenser-and-toothbrush-holder-set-i17418320-s1281970268.html?search=1,Automatic Toothpaste Dispenser And Toothbrush Holder Set -,Rs. 275,(424), 4.5
https://www.daraz.pk/products/certeza-gs-808-digital-body-weight-glass-scale-weight-machine-bathroom-scale-white-i1482114-s9249186.html?search=1,Certeza GS 808 - Digital Body Weight Glass Scale -Weight Machine - Bathroom Scale (White),"Rs. 1,700",(506), 4.4
https://www.daraz.pk/products/set-of-toothpaste-dispenser-toothbrush-holder-white-automatic-toothpaste-dispenser-and-toothbrush-holder-set-wall-mounted-toothpaste-dispenser-with-5-toothbrush-holder-set-toothpaste-squeezing-machine-toothpaste-dispenser-tooth-brush-holder-set-i3385608-s12845066.html?search=1,Set of Toothpaste Dispenser & Toothbrush Holder - White Automatic Toothpaste Dispenser and Toothbrush Holder Set | Wall Mounted Toothpaste Dispenser with 5 Toothbrush Holder Set | Toothpaste Squeezing Machine | Toothpaste Dispenser Tooth brush Holder set,Rs. 220,(640), 4.8
https://www.daraz.pk/products/toothpaste-dispenser-with-tooth-brush-holder-i168902254-s1338392187.html?search=1,Toothpaste Dispenser With Tooth Brush Holder,Rs. 215,(185), 4.6
https://www.daraz.pk/products/best-quality-set-of-toothpaste-dispenser-brush-holder-white-i126680502-s1285132841.html?search=1,Best Quality Set of Toothpaste Dispenser & Brush Holder - White,Rs. 238,(567), 4.5
https://www.daraz.pk/products/certeza-gs-807-digital-body-weight-glass-scale-weight-machine-bathroom-scale-white-i1482115-s9249188.html?search=1,Certeza GS 807 - Digital Body Weight Glass Scale - Weight Machine - Bathroom scale (White),"Rs. 1,700",(352), 4.7
https://www.daraz.pk/products/plastic-automatic-toothpaste-dispenser-with-tooth-brush-holder-for-homes-and-bathrooms-i178340737-s1355252148.html?search=1,Plastic Automatic Toothpaste Dispenser With Tooth Brush Holder For Homes And Bathrooms,Rs. 279,(203), 4.4
https://www.daraz.pk/products/set-of-toothpaste-dispenser-toothbrush-holder-white-automatic-toothpaste-dispenser-and-toothbrush-holder-set-wall-mounted-toothpaste-dispenser-with-5-toothbrush-holder-set-toothpaste-squeezing-machine-toothpaste-dispenser-tooth-brush-holder-set-i201710907-s1400658263.html?search=1,Set of Toothpaste Dispenser & Toothbrush Holder - White Automatic Toothpaste Dispenser and Toothbrush Holder Set | Wall Mounted Toothpaste Dispenser with 5 Toothbrush Holder Set | Toothpaste Squeezing Machine | Toothpaste Dispenser Tooth brush Holder set,Rs. 375,(134), 4.5
https://www.daraz.pk/products/utopia-towel-set-2-bath-towels-2-hand-towels-and-4-washcloths-600-gsm-100-premium-ring-spun-cotton-highly-absorbent-towels-for-bathroom-shower-towel-pack-of-8-i146612924-s1309508859.html?search=1,"Utopia Towel Set, 2 Bath Towels, 2 Hand Towels, and 4 Washcloths, 600 GSM 100% Premium Ring Spun Cotton Highly Absorbent Towels for Bathroom, Shower Towel, (Pack of 8)","Rs. 1,739",(395), 5.0
https://www.daraz.pk/products/toilet-brush-and-holder-set-10-inch-non-slip-long-handle-hygienic-bath-brush-toilet-bathroom-bowl-cleaning-brush-washroom-brush-holder-set-washroom-brush-holder-toilet-cleaning-brush-i196650916-s1391858475.html?search=1,Toilet Brush and Holder Set - 10 Inch Non-Slip Long Handle Hygienic Bath Brush Toilet Bathroom Bowl Cleaning Brush Washroom Brush & Holder Set  / Washroom Brush Holder / & Toilet Cleaning Brush,Rs. 766,(130), 4.2
https://www.daraz.pk/products/leaf-shape-decorative-drainage-soap-holder-dish-storage-plate-tray-bathroom-soap-holder-case-soap-dispenser-self-draining-soap-holder-leaf-shape-soap-dish-decorative-drainage-soap-holder-for-kitchen-i215419738-s1424818260.html?search=1,Leaf Shape Decorative Drainage Soap Holder Dish Storage Plate Tray Bathroom Soap Holder Case Soap Dispenser Self Draining Soap Holder Leaf Shape Soap Dish Decorative Drainage Soap Holder for Kitchen,Rs. 126,(43), 4.5
https://www.daraz.pk/products/pack-of-2-bathroom-soap-holder-simple-leaf-shape-soap-box-creative-kitchen-dish-brushes-rack-household-tray-holder-case-container-i209536098-s1424929355.html?search=1,Leaf Shape Soap Box Bathroom soap holder Dish Storage Plate Tray Bathroom Soap Holder Case Bathroom Supplies Shelf Kitchenware,Rs. 397,(59), 4.9
https://www.daraz.pk/products/soap-holder-leaf-shape-soap-dish-leaf-shape-soap-holder-soap-case-i201630028-s1428785171.html?search=1,Soap holder Leaf Shape Soap Dish Leaf Shape Soap Holder Soap Case,Rs. 158,(56), 4.5
https://www.daraz.pk/products/self-draining-soap-holder-leaf-shape-soapdish-leafology-decorative-drainage-soap-holder-for-shower-bathroom-kitchen-i198284953-s1394160978.html?search=1,Self Draining Soap Holder Leaf Shape Soapdish Leafology Decorative Drainage Soap Holder for Shower Bathroom Kitchen,Rs. 149,(89), 4.4
https://www.daraz.pk/products/weight-scale-analog-body-weight-machine-model-mb1010-i116492379-s1306792743.html?search=1,Weight Scale Analog Body Weight Machine Model MB1010 Blue Color,"Rs. 1,299",(546), 4.9
https://www.daraz.pk/products/relaxsit-shower-curtain-set-bathroom-fabric-fall-curtains-waterproof-colorful-stylish-design-with-12-rings-size-180-x-180cm-i100679808-s1246041867.html?search=1,relaxsit Shower Curtain Set Bathroom Fabric Fall Curtains Waterproof Colorful stylish design  with 12 Rings size 180 X 180cm,Rs. 689,(133), 4.9
https://www.daraz.pk/products/multicrafts-automatic-toothpaste-dispenser-with-toothbrush-holder-wall-mounted-multicolor-i103818059-s1250042668.html?search=1,Tooth Paste Dispenser with Toothbrush Holder - Multicolor,Rs. 397,(419), 4.4
https://www.daraz.pk/products/automatic-toothpaste-dispenser-holder-toothbrush-wall-mount-rack-bathroom-tools-set-white-i215456606-s1424875003.html?search=1,Automatic Toothpaste Dispenser Holder Toothbrush Wall Mount Rack Bathroom Tools Set | White,Rs. 290,(68), 4.4
https://www.daraz.pk/products/automatic-toothpaste-dispenser-squeezer-with-wall-mount-toothbrush-holder-i129915822-s1289721896.html?search=1,Automatic Toothpaste Dispenser with Wall Mount Toothbrush Holder Toothpaste Squeezer with 5 Brushes Set Kids Hands Free Toothpaste Dispenser for Shower Bathroom Sink,Rs. 269,(67), 4.6
https://www.daraz.pk/products/sponge-holder-and-soap-dispenser-kitchen-organiser-sink-caddy-basket-dish-cleaning-i183446484-s1366098474.html?search=1,Sponge Holder and Soap Dispenser Kitchen Organiser Sink Caddy Basket Dish Cleaning,Rs. 369,(53), 4.7
https://www.daraz.pk/products/imported-100-accurate-tempered-glass-electronic-digital-body-weight-scale-digital-body-weight-machine-digital-personal-body-weighing-scale-digital-personal-body-weighing-machine-digital-bath-scale-digital-bathroom-scale-portable-weight-scale-machine-i129754648-s1289542459.html?search=1,Imported 100% Accurate Tempered Glass Electronic Digital Body Weight Scale Digital Body Weight Machine Digital Personal Body Weighing Scale Digital Personal Body Weighing Machine Digital Bath Scale Digital Bathroom Scale Portable Weight Scale Machine,"Rs. 1,450",(273), 4.3
https://www.daraz.pk/products/hair-dryer-cap-towel-hair-wrap-towel-i201120146-s1399652508.html?search=1,Hair Dryer Cap Towel - Hair Wrap Towel.,Rs. 99,(136), 4.9
https://www.daraz.pk/products/random-color-plastic-soap-dispenser-base-leaf-shaped-self-draining-plastic-soap-holder-v-shaped-soap-dish-soap-case-drainage-soap-base-for-shower-bathroom-kitchen-i203410209-s1403272459.html?search=1,Random Color Plastic Leaf Shape Self Draining Plastic Soap Holder Self Adhesive V Shaped Soap Dish Soap Case Drainage Soap Base for Shower Bathroom Kitchen,Rs. 249,(84), 4.8
https://www.daraz.pk/products/new-soap-dispenser-self-draining-soap-holder-leaf-shape-soapdish-leafology-decorative-drainage-soap-holder-for-shower-bathroom-kitchen-i212898707-s1421152769.html?search=1,New High Quality Leaf Shaped Soap Holder Bathroom Soap Holder Dish Rack Soap Holder Case Bathroom Accessories Kitchen Gadgets,Rs. 165,(31), 4.9
https://www.daraz.pk/products/bath-mats-towels-cotton-banded-highly-absorbent-and-machine-washable-shower-bathroom-floor-mat-21-x-34-inches-pack-of-2-i146870608-s1309858772.html?search=1,"Bath Mats Towels Cotton Banded Bath Mats, 2 Pack 21 x 34 Inches Highly Absorbent and Machine Washable Shower Bathroom Floor Mat Pack of 2",Rs. 949,(339), 4.3
https://www.daraz.pk/products/hair-dryer-cap-towel-hair-wrap-towel-i139246136-s1299238277.html?search=1,Hair Dryer Cap Towel - Hair Wrap Towel.,Rs. 149,(370), 4.6
https://www.daraz.pk/products/aveesha-textiles-100-cotton-ring-spun-luxurious-bath-towel-27x50-inches-i16501725-s1423719529.html?search=1,Aveesha Textiles 100% Cotton Ring Spun Luxurious Bath Towel - 27x54 inches,Rs. 399,(18), 4.3
